id,name,neighborhood_overview,transit,house_rules,host_name,host_response_time,host_neighbourhood,city,state,zipcode,country,housetype,room_type,bathrooms,bedrooms,amenities,price
360,LoHi Secret garden at the Chickadee Cottage,those who are interested in our local brews - we are walking distance to three new breweries for as well as a short drive to several other breweries.  those who are interested in our local brews - we are walking distance to three new breweries for as well as a short drive to several other breweries.  **We are in an up and coming neighborhood & construction going on everywhere around us as well as all around in Denver we do have a few homes being built around us which are soon to be completed. Please be advised that there can be building sounds some times    there is some history behind the cottages -  they were built in the 1890's and used to belong to a horse and carriage business which shuttled workers down to Union Station. our neighborhood has always been a working class neighborhood starting with the Italians and then has welcomed many other waves of immigrants.   The Lower Highlands district is a thriving area due to the of  proximity and the number of attractions that you can wa,there are several bus lines that cross the neighborhood and walking/one bus to the lightrail. Main lightrail - Union Station 1 mile G Line Fox street - .5 mile (still waiting for the Gline to open),"NUMBER ONE HOUSE RULE: please let us know ASAP if something in the cottage is not working and or missing.  We strive to make a pleasant experience for our guests.  RENTING WITH DOGS:   • WE DO NOT ACCPET A PET OVER 35LBS • our current criteria for k9's has been one pup and no larger then 35lb (if you have 2 small dogs please chat with us). • if you are need of your service dog please contact us and we can chat about it.   • if your pup is ok'd for stay - all dogs need to be created indoor while guest are away, on leashes while in the gardens, and not left unattended for more then 2-3 hours at a time.  •  we have been having too many issue with instant booking and guests showing up with multiple pups 65lb+ and we are a small place.  thank you for your understanding and we look forwards to chatting.  SMOKING:  there is no smoking in the cottage, neither tobacco or cannabis.  $100 fee for smoking indoors.  the tobacco smoking section in the front garden has late night hours but ask that t",Jennifer & Giovanni,within an hour,Highland,Denver,CO,80211,United States,Guesthouse,Entire home/apt,1,2,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Hot tub"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,Bathtub,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance""}",$140.00 
590,Comfortable  - and a great value!,I love the diversity of my neighborhood and its proximity to shopping and restaurants.  I live on a beautiful parkway.,"The number 20 RTD bus is 2 blocks away to go downtown, or the other direction to the Anschutz Medical campus.   Easy transportation from the airport via RTD commuter rail, the University of Colorado A Line (nothing to do with the university - they just paid for the naming rights for the A Line)-$9 regular fare, $4.50 seniors (and some others who qualify for discounted fare, such as military I think)   From Central Park stop, take a 65 bus to right across from my house - the 26th and Monaco stop.  Or, I often am available and happy to pick you up from Central Park.  There is ample free street parking and also some space in my driveway.",No Smoking!,Jill,within an hour,North Park Hill,Denver,CO,80207,United States,House,Private room,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard""}",$61.00 
592,private,Pleasant Neighbourhood,It's convenient and easy to get here from the airport by the A-line train ($9 full fare) to Central Park and then the 65 bus to 26th and Monaco.   It is also easy to go downtown by bus #20.   The bus stop is two blocks away.,No smoking in or near the house.    I prefer non smokers.,Jill,within an hour,North Park Hill,Denver,CO,80207,United States,House,Private room,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",$44.00 
1940,Baker Studio Close to EVERYTHING,"Walking through the Baker historical neighborhood you will find a little bit of everything -- grand Victorian houses, quaint duplexes, small single-story homes, and newly-built condos.  It's an easy walk to restaurants, coffee shops, breweries, the shops and Mayan theater on Broadway, and the Santa Fe Arts District with gallery openings the first Friday of each month.",RTD bus stop is within two blocks.  The #1 bus goes downtown.  Alameda Light Rail Station is about 1 mile south.  It's about a 15-minute walk to Denver Health Medical Center.  Very convenient to 6th Avenue and I-25 thoroughfares.,"- Absolutely no smoking of any kind (NOT 420 friendly). - No firearms. -Bookings less than 30 days must be charged Denver Occupancy/Lodger's tax of 10.75%, collected through Airbnb.   - Pets may be considered on a case by case basis. -The studio really cannot accommodate more than 2 people, hence the high charge for extra people. -Basics (2 rolls toilet paper, bag of coffee, tea bags) provided at check-in.  Products are not resupplied during the length of stay.",Joanne,within an hour,Baker,Denver,CO,80223,United States,Guesthouse,Entire home/apt,1,0,"{TV,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",$95.00 
2086,Garden Level Condo,restaurants and park within walking distance.  Public transit via bus (1 block from house) or inexpensive uber/lyft to downtown.  You get to stay in a quaint but be close enough to experience all that downtown Denver has to offer.,Close to bus stop and easy off street parking,"HOA rules include: no smoking (anything) in condo or near entrances, no loud noises late at night, no rude/inconsiderate behavior as this is a condo with shared hallways.  *Pets must be housebroken and walked (with poo pick up), no off lease area",Katy,within an hour,Windsor,Denver,CO,80220,United States,Apartment,Entire home/apt,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Patio or balcony"",""Long term stays allowed""}",$76.00 
31503,Highland Park Guest House,Noisy Neighbourhood,Free street parking!,"As a clarification, our No Smoking policy does apply to all tobacco, marijuana, and vapor products.  While marijuana is legal in the State Of Colorado please limit any consumption of this product while on property to an edible form. Due to the nature of our neighborhood, occupancy is limited to one or two persons.  For this same reason we do not host events.  While guests are always welcome, parties of even small numbers are excluded and extra persons will not be allowed after hours. Highland Park Guest House is a hate free zone and open to all persons of varying diversity.  However, for various reasons Highland Park Guest House is a Child Free, Pet Free, and Smoke Free property.  Regretfully, we are unable to offer services to everyone and appreciate in advance the understanding of all those whom are unable to stay with us for the above reasons. No Refunds will be provided on stays revoked because parties include More Than Two Persons, Children Under Age 18, Pets, or a Smoker or Smoke",Rick,within an hour,West Highland,Denver,CO,80211,United States,Guest suite,Entire home/apt,1,1,"{TV,""Cable TV"",Internet,Wifi,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",$110.00 
39405,LoHi Secret garden at the Mulberry Cottage,those who are interested in our local brews - we are walking distance to three new breweries for as well as a short drive to several other breweries.  those who are interested in our local brews - we are walking distance to three new breweries for as well as a short drive to several other breweries.  **We are in an up and coming neighborhood & construction going on everywhere around us as well as all around in Denver we do have a few homes being built around us which are soon to be completed. Please be advised that there can be building sounds some times    there is some history behind the cottages -  they were built in the 1890's and used to belong to a horse and carriage business which shuttled workers down to Union Station. our neighborhood has always been a working class neighborhood starting with the Italians and then has welcomed many other waves of immigrants.   The Lower Highlands district is a thriving area due to the of  proximity and the number of attractions that you can wa,there are several bus lines that cross the neighborhood and walking/one bus to the lightrail. Main lightrail - Union Station 1 mile G Line Fox street - .5 mile (still waiting for the Gline to open),"NUMBER ONE HOUSE RULE: please let us know ASAP if something in the cottage is not working and or missing.  We strive to make a pleasant experience for our guests.  RENTING WITH DOGS:   • WE DO NOT ACCPET A PET OVER 35LBS • our current criteria for k9's has been one pup and no larger then 35lb (if you have 2 small dogs please chat with us). • if you are need of your service dog please contact us and we can chat about it.   • if your pup is ok'd for stay - all dogs need to be created indoor while guest are away, on leashes while in the gardens, and not left unattended for more then 2-3 hours at a time.  •  we have been having too many issue with instant booking and guests showing up with multiple pups 65lb+ and we are a small place.  thank you for your understanding and we look forwards to chatting.  SMOKING:  there is no smoking in the cottage, neither tobacco or cannabis.  $100 fee for smoking indoors.  the tobacco smoking section in the front garden has late night hours but ask that t",Jennifer & Giovanni,within an hour,Highland,Denver,CO,80211,United States,Cottage,Entire home/apt,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Other pet(s)"",""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",$111.00 
56185,charming home for your vacation,Pleasant Neighbourhood,Free street parking!,"Please treat our house as you would yours. No smoking, no pets, and no use of the indoor fireplace. We try to avoid food on the second floor and basement.  This is a residential neighborhood, so no loud parties, please. Thanks!",Kate,Within a day,North Park Hill,Denver,CO,80207,United States,House,Entire home/apt,3,4,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",$300.00 
59631,VICTORIAN TOWNHOME DOWNTOWN,"My close-in neighborhood is walkable to just about everything you will need.  Many of guests find that they don't need a car!  Grocery stores, liquor stores, bakeries, coffee shops and many options for dining are within a few blocks.  The downtown amenities are approximately a 20 minute walk from the property.",There are several bus lines within 2 blocks of the house and light rail is within 5 blocks.,"This property has a strict ""no-smoking of any kind"" policy.  Thank you for respecting this! Once we have agreed upon a specific arrival time, please do not come to the house early - I will be working to prepare things for you!  Thank you....",Julie,within an hour,Five Points,Denver,CO,80205,United States,Townhouse,Entire home/apt,2.5,2,"{TV,Internet,Wifi,Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",$179.00 
74125,Spacious Cap Hill Condo (built in 1889) with yards,Pleasant Neighbourhood,"Denver was rated one of the two worst cities *in the world* for accessibility of mass transit from the airport to the city. That said, we just got an airport train this year. And my neighborhood is one of the best for multi-modal transportation options. Bus. Bike share. Car share. As good as it is for this sharing stuff, it's pretty bad for parking. If you're bringing a car with you let me know and I'll tell you my strategy for finding parking, as well as the last-ditch-backup-secret-parking lot I've only had to use once in my five years here.",No smoking tobacco.,Joe,within an hour,Capitol Hill,Denver,CO,80203,United States,Apartment,Entire home/apt,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Outlet covers"",Bathtub,""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",$130.00 
